Rk,Player,Nation,Pos,Squad,90s,Cmp,ShortCmp,MedCmp,LongCmp,xAG,xA,KP,1/3P,PPA,CrsPA,SCA,PrgP,SuccTkon,PrgC,1/3C,CPA,PrgR,TcklW,Int
189,Ben Winterburn,eng ENG,"MF,FW",Bournemouth,0.3,16.7,6.67,10,0,0,0,0,0,0,0,0,0,0,6.67,0,3.33,6.67,0,6.67
197,Tyler Adams,us USA,MF,Bournemouth,21.8,41.4,20,18,1.74,0.05,0.04,0.83,3.07,0.18,0.05,1.88,3.49,0.18,0.64,1.01,0.05,0.46,2.29,1.47
198,Asher Agbinone,eng ENG,MF,Crystal Palace,0.1,20,10,10,0,0,0,10,0,0,0,15,0,0,20,0,0,10,10,0
199,Carlos Alcaraz,ar ARG,MF,Southampton,0.1,130,70,40,20,1,0,10,40,10,10,9,60,0,40,10,0,10,0,10
200,Edson Álvarez,mx MEX,MF,West Ham,19.7,43.7,21.5,18.3,3.35,0.04,0.05,0.61,4.67,0.61,0.15,1.42,4.31,0.71,1.22,1.12,0.1,0.91,1.37,0.91
201,Mathis Amougou,fr FRA,MF,Chelsea,0.1,70,60,10,0,0,0,0,20,0,0,0,10,0,0,10,0,0,0,0
202,Elliot Anderson,eng ENG,MF,Nott'ham Forest,30.3,35.8,18.9,13.3,2.54,0.11,0.12,1.22,3.99,0.63,0.07,2.87,4.72,1.19,1.72,1.06,0.69,3.1,1.85,1.02
203,André,br BRA,MF,Wolves,27.5,45.3,23.5,17.3,2.91,0.03,0.03,0.65,4.04,0.18,0,1.78,3.96,0.58,0.36,0.62,0,0.4,2,1.35
204,Harrison Armstrong,eng ENG,MF,Everton,0.5,14,6,4,4,0.2,0,2,2,0,0,1.87,2,2,2,4,0,0,0,0
205,Marco Asensio,es ESP,MF,Aston Villa,8.3,29.2,16.6,10.1,1.33,0.12,0.14,1.93,2.41,1.33,0.24,4.24,5.42,1.45,2.65,2.53,0.6,4.58,0.6,0.24
206,Yasin Ayari,se SWE,MF,Brighton,21.8,36.4,21.3,12.3,1.83,0.11,0.12,1.38,2.52,0.83,0.18,2.79,3.44,0.83,1.38,1.15,0.28,2.8,1.47,0.92
207,Carlos Baleba,cm CMR,MF,Brighton,29.6,38.8,18.4,16.5,3.18,0.04,0.04,0.71,3.68,0.78,0.1,2.23,3.99,1.11,1.45,1.52,0.1,0.98,1.55,1.55
208,Ross Barkley,eng ENG,MF,Aston Villa,6.5,51.8,27.1,21.8,2,0.09,0.06,1.38,4.92,0.92,0,2.78,5.54,1.85,2.31,2.31,0.31,1.54,0.46,1.54
209,Rodrigo Bentancur,uy URU,MF,Tottenham,18.3,51.7,24.6,23.2,2.57,0.02,0.05,0.55,5.96,0.71,0.11,2.46,5.46,0.49,1.53,1.31,0.27,1.86,1.2,2.19
210,Sander Berge,no NOR,MF,Fulham,24.7,44.2,18.3,21.3,3.89,0.02,0.02,0.73,4.7,0.2,0,1.94,5.02,0.45,1.17,1.01,0.08,0.36,1.21,0.85
211,Lucas Bergvall,se SWE,MF,Tottenham,13.5,46.6,21.9,19.6,3.93,0.04,0.06,0.81,3.93,0.52,0.22,1.63,3.63,1.56,2.44,1.56,0.3,2.3,1.41,1.78
212,Philip Billing,dk DEN,MF,Bournemouth,2,35,21.5,9.5,2,0.55,0.5,4.5,4.5,3.5,1,7.83,7.5,0.5,1.5,0.5,0.5,6.5,2.5,2.5
213,Yves Bissouma,ml MLI,MF,Tottenham,15.6,48.4,26.5,17.8,2.31,0.02,0.04,0.38,3.91,0.64,0.06,1.02,4.81,0.45,0.96,1.09,0,0.19,1.99,1.15
214,Tom Cairney,sct SCO,MF,Fulham,7,81.3,45.1,29.4,6,0.16,0.17,1.57,7.57,1,0.43,4.71,7.57,0.71,2.57,2.43,0.57,4.71,0.71,0.57
215,Jens Cajuste,se SWE,MF,Ipswich Town,21.8,29.7,13.8,13.8,1.42,0.04,0.03,0.6,2.34,0.28,0.05,1.65,2.71,1.28,1.19,1.06,0.14,0.92,1.01,1.28
216,Casemiro,br BRA,MF,Manchester Utd,16.6,47,22.2,18.9,4.16,0.14,0.12,1.33,4.88,1.39,0.36,3.19,5.06,0.18,0.24,0.6,0,1.69,3.01,0.84
217,Chiquinho,pt POR,MF,Wolves,0.1,30,10,10,10,0,0,10,0,10,10,25.71,0,0,0,0,0,0,0,0
218,Ryan Christie,sct SCO,MF,Bournemouth,23.5,35.6,15.7,16.1,3.49,0.15,0.13,1.74,5.02,1.4,0.21,3.62,5.83,0.98,1.45,1.7,0.34,1.87,1.4,1.28
219,Toby Collyer,eng ENG,MF,Manchester Utd,2,38,18.5,16,1.5,0.15,0.2,1,1.5,0.5,0,2.5,2.5,0.5,0,0,0,1,4.5,1
220,Jayden Danns,eng ENG,MF,Liverpool,0.1,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,Justin Devenny,nir NIR,MF,Crystal Palace,5.6,26.4,13.8,9.11,2.5,0.11,0.07,1.25,3.93,0.71,0.18,2.66,3.75,0.36,0.89,0.89,0.18,2.32,2.14,0
222,Abdoulaye Doucouré,ml MLI,MF,Everton,28.5,25.4,13.4,9.23,1.54,0.08,0.05,0.98,1.54,0.53,0,2.04,2.88,0.84,1.47,0.91,0.28,3.37,0.98,0.35
223,Cheick Doucouré,ml MLI,MF,Crystal Palace,5,34.8,16.8,14,3.2,0,0.02,0.2,3.4,0.6,0,1.79,3.8,0.4,0.4,1.4,0.2,1.4,1.6,2.2
